CANAL;COMENTARIO
CONOCE-AQUI;felicitaciones, ejemplo de cuando quieren las entidades publicas favorecen a los usuarios, gracias
CONOCE-AQUI;ESTA MEJOR
CONOCE-AQUI;ES MUY DIDACTICO LA FORMA, FELICITACIONES.
CONOCE-AQUI;OK
CONOCE-AQUI;FALTARIA PODER IMPRIMIR
CONOCE-AQUI;l
CONOCE-AQUI;FFF
CONOCE-AQUI;genial
CONOCE-AQUI;buena
CONOCE-AQUI;Excelente servicio, cuando hay muchas hojas en las partidas registrales. Me encanta
CONOCE-AQUI;excelente apoyo. seria bueno poder imprimir
CONOCE-AQUI;BUENA PLATAFORMA
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;GRACIAS
CONOCE-AQUI;AWD
CONOCE-AQUI;ok. excelente
CONOCE-AQUI;VA MEJORANDO
CONOCE-AQUI;bien
CONOCE-AQUI;EXELENTE, GRACIAS
CONOCE-AQUI;H
CONOCE-AQUI;SS
CONOCE-AQUI;OK
CONOCE-AQUI;No se me ocurre nada.
CONOCE-AQUI;super bien
CONOCE-AQUI;asdg g
CONOCE-AQUI;-
CONOCE-AQUI;bien
CONOCE-AQUI;OK
CONOCE-AQUI;111
CONOCE-AQUI;esta bueno 
CONOCE-AQUI;j
CONOCE-AQUI;ok
CONOCE-AQUI;Buen Servicio
CONOCE-AQUI;EXELENTY
CONOCE-AQUI;"muy bueno
"
CONOCE-AQUI;NBCFHTDHTG
CONOCE-AQUI;bien
CONOCE-AQUI;a
CONOCE-AQUI;exelente
CONOCE-AQUI;"si
"
CONOCE-AQUI;ok
CONOCE-AQUI;,
CONOCE-AQUI;.
CONOCE-AQUI;Bueno
CONOCE-AQUI;NO SE PUEDE IMPRIMIR LAS HOJAS
CONOCE-AQUI;AYUDA IMPORTANTE
CONOCE-AQUI;GGFGHKJ
CONOCE-AQUI;poner para descargar 
CONOCE-AQUI;NADA
CONOCE-AQUI;Excelente 
CONOCE-AQUI;Muy bueno, ayuda a sacarnos de dudas
CONOCE-AQUI;bien gracias muy eficiente
CONOCE-AQUI;bien
CONOCE-AQUI;no esta los documentos completos
CONOCE-AQUI;bueno
CONOCE-AQUI;)
CONOCE-AQUI;exelente
CONOCE-AQUI;debería haber opción de descargar en PDF, aunque sea versión borrador
CONOCE-AQUI;BIEN
CONOCE-AQUI;ds
CONOCE-AQUI;bueno
CONOCE-AQUI;ok
CONOCE-AQUI;"poco tiempo
"
CONOCE-AQUI;"buen servicio
"
CONOCE-AQUI;que se mas detallado
CONOCE-AQUI;BUENO
CONOCE-AQUI;Poder imprimir la información de las partidas que se pueden visualizar
CONOCE-AQUI;OK
CONOCE-AQUI;h
CONOCE-AQUI;asd
CONOCE-AQUI;p
CONOCE-AQUI;gracias
CONOCE-AQUI;.
CONOCE-AQUI;"tiempo limite
"
CONOCE-AQUI;"-
"
CONOCE-AQUI;Me gustaría poder visualizar todos los asientos de esta partidas muy
CONOCE-AQUI;OK
CONOCE-AQUI;":)
"
CONOCE-AQUI;todo ok
CONOCE-AQUI;ccc
CONOCE-AQUI;No entiendo ese documento 
CONOCE-AQUI;BUENA
CONOCE-AQUI;ESTA MUY BIEN
CONOCE-AQUI;j
CONOCE-AQUI;vvv
CONOCE-AQUI;BIEN
CONOCE-AQUI;ok
CONOCE-AQUI;MUY BUEN SERVICIOS
CONOCE-AQUI;BIEN EL CANAL DE INFORMACION
CONOCE-AQUI;bien
CONOCE-AQUI;"NINGUNA
"
CONOCE-AQUI;ok
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;Oportuno.
CONOCE-AQUI;servicio rápido... 
CONOCE-AQUI;ok
CONOCE-AQUI;bhjfctgmyukjhgyfr
CONOCE-AQUI;mas tiempo
CONOCE-AQUI;Todo OK
CONOCE-AQUI;ok
CONOCE-AQUI;QSSaasQA
CONOCE-AQUI;gracis
CONOCE-AQUI;DSGFSGWEGEWE
CONOCE-AQUI;todo bien.
CONOCE-AQUI;0
CONOCE-AQUI;ok
CONOCE-AQUI;TODO  OK CHEVERE
CONOCE-AQUI;genial
CONOCE-AQUI;ok
CONOCE-AQUI;BUENO
CONOCE-AQUI;bien
CONOCE-AQUI;excelente
CONOCE-AQUI;ñ
CONOCE-AQUI;.
CONOCE-AQUI;I
CONOCE-AQUI;PODER REALIZAR VARIAS CONSULTAS SIN NECESIDAD DE SALIR DE LA PLATAFORMA.
CONOCE-AQUI;no coinciden el numero de asiento indicado en el panel derecho con el mostrado en la visualizacion.
CONOCE-AQUI;"excelente
"
CONOCE-AQUI;Muy útil tanto para el público en general como para las Entidades del Estado
CONOCE-AQUI;fffffffffffff
CONOCE-AQUI;todo bien
CONOCE-AQUI;MUY BUENOI
CONOCE-AQUI;10
CONOCE-AQUI;ok
CONOCE-AQUI;Buen apoyo
CONOCE-AQUI;AAA
CONOCE-AQUI;"KK
"
CONOCE-AQUI;OK
CONOCE-AQUI;Bueno
CONOCE-AQUI;"OK BUENO
"
CONOCE-AQUI;ok 
CONOCE-AQUI;BIEN
CONOCE-AQUI;.
CONOCE-AQUI;ok
CONOCE-AQUI;excelente
CONOCE-AQUI;Esta muy bien la pagina, ayuda bastante para evitar ir hasta la sunarp, pero se debe de ver el cuadro completo de las partidas registrales
CONOCE-AQUI;Bbb
CONOCE-AQUI;XD
CONOCE-AQUI;"falta mas dato
"
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;A
CONOCE-AQUI;Buen servicio de ayuda
CONOCE-AQUI;BBB
CONOCE-AQUI;EXELENTE
CONOCE-AQUI;f
CONOCE-AQUI;CVXCVXVCXV  XDD
CONOCE-AQUI;1
CONOCE-AQUI;POCO TIEMPO LA SESION
CONOCE-AQUI;.
CONOCE-AQUI;....
CONOCE-AQUI;ok
CONOCE-AQUI;bueno
CONOCE-AQUI;EXELENTE
CONOCE-AQUI;buena
CONOCE-AQUI;OK
CONOCE-AQUI;bien
CONOCE-AQUI;cas
CONOCE-AQUI;AWD
CONOCE-AQUI;Tarde pero encontré 
CONOCE-AQUI;gggggg
CONOCE-AQUI;"hola gracias
"
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;poder imprimir o descargar la pagina
CONOCE-AQUI;SDFVGBN
CONOCE-AQUI;VJHFGF
CONOCE-AQUI;EDED
CONOCE-AQUI;good
CONOCE-AQUI;S
CONOCE-AQUI;asdfas
CONOCE-AQUI;OK
CONOCE-AQUI;RÁPIDO Y SEGURO
CONOCE-AQUI;ok.
CONOCE-AQUI;BIEN TODO  BIEN 
CONOCE-AQUI;d
CONOCE-AQUI;Debería dejar descargar la imagen si igual no tienen un valor legal solo para verla mejor
CONOCE-AQUI;Nada por el momento
CONOCE-AQUI;:)
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;todo ok
CONOCE-AQUI;GRACIAS POR IMPLEMENTAR ESTE SERVICIO POR INTERNEN QUE AYUDA MUCHO A AHORRAR TIEMPO Y DINERO PARA QUE DESPUÉS DE CONSULTAR SE PUEDA PEDIR COPIA DEL ASIENTO QUE UNO DESEA MUY BIEN 
CONOCE-AQUI;mb
CONOCE-AQUI;AWD
CONOCE-AQUI;OK
CONOCE-AQUI;,,,.gh,dfgwdfagv
CONOCE-AQUI;BUENA
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;Permitir imprimir
CONOCE-AQUI;X
CONOCE-AQUI;bien.
CONOCE-AQUI;Buen servicio.
CONOCE-AQUI;AGRANDAR TAMAÑO DEL VISOR.
CONOCE-AQUI;---
CONOCE-AQUI;bien
CONOCE-AQUI; 
CONOCE-AQUI;ASDASD
CONOCE-AQUI;bueno
CONOCE-AQUI;Muy buena alternativa para los usuarios.
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;Bien
CONOCE-AQUI;.
CONOCE-AQUI;OK
CONOCE-AQUI;BIEN
CONOCE-AQUI;HAY FASCILIDAD DE PODER VER LO REQUERIDO.
CONOCE-AQUI;Bueno
CONOCE-AQUI;exelente servicio
CONOCE-AQUI;1
CONOCE-AQUI;YJY
CONOCE-AQUI;XD
CONOCE-AQUI;ok
CONOCE-AQUI;"Excelente informacion en linea



"
CONOCE-AQUI;muy bueno
CONOCE-AQUI;OK
CONOCE-AQUI;aplicación muy cocmoda
CONOCE-AQUI;OK
CONOCE-AQUI;sdaf
CONOCE-AQUI;TODO BIEN
CONOCE-AQUI;https://conoce-aqui.sunarp.gob.pe/conoce-aqui/assets/img/4.png
CONOCE-AQUI;q34V
CONOCE-AQUI;<<x<sz
CONOCE-AQUI;TRYHTFRUTUYTRYTRY
CONOCE-AQUI;Agradecido para información es suficiente
CONOCE-AQUI;n
CONOCE-AQUI;a
CONOCE-AQUI;"OK
"
CONOCE-AQUI;se deberia poder mostrar la pagina al % en la pantalla y no por secciones como se puede apreciar, en el caso de tomos seria mas practico para una mejor lectura
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;GRACIAS
CONOCE-AQUI;tod rapido
CONOCE-AQUI; 
CONOCE-AQUI;"ok
"
CONOCE-AQUI;hh
CONOCE-AQUI;Excelente
CONOCE-AQUI;s
CONOCE-AQUI;OK
CONOCE-AQUI;WSD
CONOCE-AQUI;DW
CONOCE-AQUI;.
CONOCE-AQUI;.
CONOCE-AQUI;Muy práctico 
CONOCE-AQUI;ok
CONOCE-AQUI;,
CONOCE-AQUI;"ok
"
CONOCE-AQUI;EXCELENTE SERVICIO.
CONOCE-AQUI;ok
CONOCE-AQUI;buena
CONOCE-AQUI;muy lento trabajan ya vamos un mes y nada
CONOCE-AQUI;BIEN
CONOCE-AQUI;Muy buena información 
CONOCE-AQUI;Muy interactivo.
CONOCE-AQUI;DEBERÍA DE SER MÁS AMIGABLE, ES DECIR MÁS FACIL DE USAR.
CONOCE-AQUI;OK
CONOCE-AQUI;bueno
CONOCE-AQUI;ed
CONOCE-AQUI;A
CONOCE-AQUI;Todo perfecto
CONOCE-AQUI;.....
CONOCE-AQUI;No
CONOCE-AQUI;Excelente
CONOCE-AQUI;ok
CONOCE-AQUI;exelente
CONOCE-AQUI;muy bueno
CONOCE-AQUI;Excelente servicio, permite conocer la situación actual de los derechos que se publicita del inmueble
CONOCE-AQUI;"ok
"
CONOCE-AQUI;OK
CONOCE-AQUI;OK
CONOCE-AQUI;yky
CONOCE-AQUI;esta bien
CONOCE-AQUI;Ok
CONOCE-AQUI;bueno me gustaría que dure mas el tiempo y se pueda bajar el pdf
CONOCE-AQUI;OK
CONOCE-AQUI;bien
CONOCE-AQUI;Goodd
CONOCE-AQUI;s
CONOCE-AQUI;"buen servicio
"
CONOCE-AQUI;bien
CONOCE-AQUI;Solo falta el celular del propietario para contactarlo
CONOCE-AQUI;Solo visualizo 1 página, no puedo visualizar más, si se puede debería haber alguna opción, gracias 
CONOCE-AQUI;OK
CONOCE-AQUI;****************************
CONOCE-AQUI;Perfecto
CONOCE-AQUI;xcxcxcxcxc
CONOCE-AQUI;ok
CONOCE-AQUI;Se debería poder descargar los archivos
CONOCE-AQUI;CORTO TIEMPO CUANDO SE TRATA DE INMUEBLES QUE TIENEN MAS DE 30 UNIDADES INMO9BILIARIAS
CONOCE-AQUI;VDV<DV<DV
CONOCE-AQUI;ok
CONOCE-AQUI;Muy Buena.
CONOCE-AQUI;Ok
CONOCE-AQUI;"ok
"
CONOCE-AQUI;XXXXX
CONOCE-AQUI;"todo bien
"
CONOCE-AQUI;Más tiempo para visualizar partidas.
CONOCE-AQUI;bueno
CONOCE-AQUI;ok
CONOCE-AQUI;kkkkk
CONOCE-AQUI;RAPIDA ATENCION
CONOCE-AQUI;gfr5gfrtgtgt
CONOCE-AQUI;ok
CONOCE-AQUI;s
CONOCE-AQUI;.
CONOCE-AQUI;"ok
"
CONOCE-AQUI;ok
CONOCE-AQUI;"Buena
"
CONOCE-AQUI;Exelente
CONOCE-AQUI;es muy bueno, sigan así
CONOCE-AQUI;bueno
CONOCE-AQUI;titfuglguykrut
CONOCE-AQUI;MAS TIEMPO
CONOCE-AQUI;buebnp
CONOCE-AQUI;muy amigable de utilizar
CONOCE-AQUI;Permitir la visualización de más partidas diarias
CONOCE-AQUI;ok
CONOCE-AQUI;SWQSW
CONOCE-AQUI;tu encuesta
CONOCE-AQUI;mas intentos
CONOCE-AQUI;Bien.
CONOCE-AQUI;DVDV
CONOCE-AQUI;MÁS TIEMPO
CONOCE-AQUI;BUEO
CONOCE-AQUI; 
CONOCE-AQUI;sdsds
CONOCE-AQUI;ME RESOLVIO MIS DUDAS
CONOCE-AQUI;Sin comentarios 
CONOCE-AQUI;Excelente
CONOCE-AQUI;d
CONOCE-AQUI;excelente servico
CONOCE-AQUI;imprimir
CONOCE-AQUI;DADAEQQ
CONOCE-AQUI;gdfgdsgsdfg
CONOCE-AQUI;SI
CONOCE-AQUI;muy bueno 
CONOCE-AQUI;que se pueda descargar 
CONOCE-AQUI;Permitir más de 03 visualizaciones.
CONOCE-AQUI;muy bien gracias
CONOCE-AQUI;fsdfdf
CONOCE-AQUI;Buena
CONOCE-AQUI;4
CONOCE-AQUI;OK
CONOCE-AQUI;buena
CONOCE-AQUI;SDFFSFS
CONOCE-AQUI;genial
CONOCE-AQUI;Bien
CONOCE-AQUI;DF
CONOCE-AQUI;,Ñ,
CONOCE-AQUI;:)
CONOCE-AQUI;nos facilita mucho, gracias
CONOCE-AQUI;EXCELENTE SERVICIO
CONOCE-AQUI;muy buena 
CONOCE-AQUI;gracias por el servicio, me fue muy util
CONOCE-AQUI;Malo
CONOCE-AQUI;erer
CONOCE-AQUI;muy bueno¡¡¡¡¡¡¡¡¡¡
CONOCE-AQUI;BIEN
CONOCE-AQUI;dDdsDas
CONOCE-AQUI;fdssaf
CONOCE-AQUI;Bueno 
CONOCE-AQUI;MUY BUENA ATENCION
CONOCE-AQUI;m
CONOCE-AQUI;gracias
CONOCE-AQUI;A
CONOCE-AQUI;1
CONOCE-AQUI;bueno
CONOCE-AQUI;ok
CONOCE-AQUI;.
CONOCE-AQUI;muy buen servicio
CONOCE-AQUI;"ok
"
CONOCE-AQUI;1
CONOCE-AQUI;df rbgrt
CONOCE-AQUI;O
CONOCE-AQUI;ok
CONOCE-AQUI;MUY BIEN
CONOCE-AQUI;TAMBIEN SI SE PUEDE IMPLEMENTAR BUSQUEDA VEHICULAR
CONOCE-AQUI;X
CONOCE-AQUI;OK
CONOCE-AQUI;OK
CONOCE-AQUI;agil
CONOCE-AQUI;D
CONOCE-AQUI;me sirvió de mucha ayuda para resolver un caso muy buena
CONOCE-AQUI;EXCELENTE SERVICIO
CONOCE-AQUI;.
CONOCE-AQUI;OK
CONOCE-AQUI;Excelente 
CONOCE-AQUI;:)
CONOCE-AQUI;FACIL DE CONSULTAR
CONOCE-AQUI;"ok
"
CONOCE-AQUI;x
CONOCE-AQUI;Bueno
CONOCE-AQUI;MUY BUENA
CONOCE-AQUI;EXELENTE
CONOCE-AQUI;Ok
CONOCE-AQUI;bien
CONOCE-AQUI;excelente 
CONOCE-AQUI;No se puede descargar el archivo, no está bien optimizado la página para celulares
CONOCE-AQUI;s
CONOCE-AQUI;"Esta conforme la informacion.obtenida en su portal
"
CONOCE-AQUI;fkhh,d 8
CONOCE-AQUI;Bien
CONOCE-AQUI;-
CONOCE-AQUI;"OK
"
CONOCE-AQUI;perfecto
CONOCE-AQUI;OK
CONOCE-AQUI;"nada
"
CONOCE-AQUI;"ok
"
CONOCE-AQUI;ok
CONOCE-AQUI;2w22
CONOCE-AQUI;bien
CONOCE-AQUI;MUY UTIL
CONOCE-AQUI;DEBE EXISTIR BUSQUEDAS MULTIPLES
CONOCE-AQUI;LLLLLLLLLLL
CONOCE-AQUI;jh
CONOCE-AQUI;MAS OPORTUNIDAD DE VECES PARA VIZUALIZAR CON EL MISMO DNI.
CONOCE-AQUI;buena
CONOCE-AQUI;un buen ahorro cuando solo se quiere ver, gracias
CONOCE-AQUI;Muy bueno 
CONOCE-AQUI;Excelente iniciativa, sigan adelante!
CONOCE-AQUI;ok
CONOCE-AQUI;Poder imprimir la pagina de consulta
CONOCE-AQUI;BUENO
CONOCE-AQUI;ok
CONOCE-AQUI;MUY BUENO
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;1
CONOCE-AQUI;Bien
CONOCE-AQUI;OK
CONOCE-AQUI;b
CONOCE-AQUI;"Calidad
"
CONOCE-AQUI;excelente ayuda mucho
CONOCE-AQUI;Excelente
CONOCE-AQUI;Buen servicio 
CONOCE-AQUI;bueno
CONOCE-AQUI;.
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;buena
CONOCE-AQUI;muy pocas consultas
CONOCE-AQUI;bueno
CONOCE-AQUI;muy buena
CONOCE-AQUI;BIRN
CONOCE-AQUI;EXCELENTE LA PLATAFORMA AGILIZA Y BRINDA MUCHA INFORMACION PARA NO CAER EN ESTAFAS
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;FSF
CONOCE-AQUI;Bien
CONOCE-AQUI;ok
CONOCE-AQUI;que se pueda visualizar los titulos archivados por favor.
CONOCE-AQUI;.
CONOCE-AQUI;muy biien.
CONOCE-AQUI;Seria mejor si huviera un orientador.
CONOCE-AQUI;BIEN
CONOCE-AQUI;ok
CONOCE-AQUI;"BIEN
"
CONOCE-AQUI; 
CONOCE-AQUI;gracias
CONOCE-AQUI;lñlñl
CONOCE-AQUI;excelente
CONOCE-AQUI;MM
CONOCE-AQUI;NO APARECE NADA
CONOCE-AQUI;asdada
CONOCE-AQUI;NO
CONOCE-AQUI;GRACIAS
CONOCE-AQUI;OK
CONOCE-AQUI;extender las consultas, lo demás, todo perfecto 
CONOCE-AQUI;GRACIAS
CONOCE-AQUI;Buen servicio
CONOCE-AQUI;todo ok
CONOCE-AQUI;no hubo servicio
CONOCE-AQUI;Ok
CONOCE-AQUI;Gracias
CONOCE-AQUI;sdfgh
CONOCE-AQUI;"BIEN
"
CONOCE-AQUI;d
CONOCE-AQUI;BIEN
CONOCE-AQUI;"ok
"
CONOCE-AQUI;.
CONOCE-AQUI;   
CONOCE-AQUI;VDFGR
CONOCE-AQUI;Excelente
CONOCE-AQUI;ok
CONOCE-AQUI;Bueno
CONOCE-AQUI;HUBIERON DEMASIADOS GRAFICOS ES UNA PERDIDA DE TIEMPO
CONOCE-AQUI;b
CONOCE-AQUI;Bueno
CONOCE-AQUI;buen servicio
CONOCE-AQUI;Ok
CONOCE-AQUI;OK
CONOCE-AQUI;me ahorra tiempo
CONOCE-AQUI;bien claro
CONOCE-AQUI;No se puede ver la hoja completa x el celular 
CONOCE-AQUI;impresion
CONOCE-AQUI;s
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;Ok
CONOCE-AQUI;Ok
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;NO
CONOCE-AQUI;"BUENO
"
CONOCE-AQUI;OK
CONOCE-AQUI;OK
CONOCE-AQUI;Buena
CONOCE-AQUI;Quisiera ver las medidas de la propiedad 
CONOCE-AQUI;OK
CONOCE-AQUI;d
CONOCE-AQUI;"BUENO
"
CONOCE-AQUI;TODO EXCELENTE
CONOCE-AQUI; 
CONOCE-AQUI;acasfd
CONOCE-AQUI;VVBVB
CONOCE-AQUI;r
CONOCE-AQUI;no
CONOCE-AQUI;"excelente
"
CONOCE-AQUI;eficiente
CONOCE-AQUI;BUNEO
CONOCE-AQUI;No se puede bajar el documento o imprimir
CONOCE-AQUI;ok
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;ok todo
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;Excelente 
CONOCE-AQUI;bueno
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;"no se puede visualizar una partida desde la semana pasada
"
CONOCE-AQUI;Ninguno
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;ME DIERON OTRO PREDIO
CONOCE-AQUI;"muy buena información
"
CONOCE-AQUI;agradecer a la sunarp de estar al dia con la tecnologia virtual y estoy satisfecho  por encontrar lo que buscaba
CONOCE-AQUI;ok
CONOCE-AQUI;.
CONOCE-AQUI;muy buena
CONOCE-AQUI;excelente
CONOCE-AQUI;Buen servicio
CONOCE-AQUI;Bien
CONOCE-AQUI;"SI
"
CONOCE-AQUI;normal
CONOCE-AQUI;bien
CONOCE-AQUI;"Buen servicio
"
CONOCE-AQUI;.
CONOCE-AQUI;OK
CONOCE-AQUI;Conforme 
CONOCE-AQUI;D
CONOCE-AQUI;EEE
CONOCE-AQUI;SUPER BIEN.
CONOCE-AQUI;"gracias x el servicio
"
CONOCE-AQUI;´´
CONOCE-AQUI;ok
CONOCE-AQUI;Felicitaciones de gran ayuda
CONOCE-AQUI;Bueno
CONOCE-AQUI;bad
CONOCE-AQUI;GG
CONOCE-AQUI;OK
CONOCE-AQUI;NO SE PUEDE IMPRIMIR 
CONOCE-AQUI;ok
CONOCE-AQUI; ed
CONOCE-AQUI;ok
CONOCE-AQUI;ok
CONOCE-AQUI;AXSXC
CONOCE-AQUI;muchas gracias por el contenido
CONOCE-AQUI;-
CONOCE-AQUI;sds
CONOCE-AQUI;-
CONOCE-AQUI;"MUY BUENO
"
CONOCE-AQUI;OK
CONOCE-AQUI;"OK
"
CONOCE-AQUI;Buen servicio. 
CONOCE-AQUI;Bien servicio
CONOCE-AQUI;zxc
CONOCE-AQUI;TODO OK
CONOCE-AQUI;excelente
CONOCE-AQUI;Ok
CONOCE-AQUI;Nunca carga
CONOCE-AQUI;bsef
CONOCE-AQUI;"DGRSGFDXGF
"
CONOCE-AQUI;O
CONOCE-AQUI;gracias por el servicio
CONOCE-AQUI; c
CONOCE-AQUI;,
CONOCE-AQUI;B
CONOCE-AQUI;Bien
CONOCE-AQUI;bien
CONOCE-AQUI;que tenga opcion a imprimir
CONOCE-AQUI;BIEN
CONOCE-AQUI;NADA
CONOCE-AQUI; 
CONOCE-AQUI;1
CONOCE-AQUI;"
1"
CONOCE-AQUI;ADFF
CONOCE-AQUI;QUE SEPRECISE SI LA INFORAMCION ESTA ATUALIZADA A LA FECHA DE VISUALIZACION
CONOCE-AQUI;xD
CONOCE-AQUI;deberian permitir más tiempo para verificar los documentos
CONOCE-AQUI;No deberían poner restricciones a la cantidad de consultas y, deberían permitir la impresión correcta de las visualizaciones. La idea no es servir al usuario?
CONOCE-AQUI;Buena herramienta 
CONOCE-AQUI;ok
CONOCE-AQUI;excelente
CONOCE-AQUI;ok
CONOCE-AQUI;Ok
CONOCE-AQUI;Debería poderse visualizar una franja más ancha.
CONOCE-AQUI;fggg
CONOCE-AQUI;xd
CONOCE-AQUI;excelente
CONOCE-AQUI;Excelente servicio
CONOCE-AQUI;XDFSDF
CONOCE-AQUI;D
CONOCE-AQUI;.
CONOCE-AQUI;GENIAL
CONOCE-AQUI;.
CONOCE-AQUI;Muy bien, felicitaciones
CONOCE-AQUI;BUENO
CONOCE-AQUI;Poder ver más partidas por día.
CONOCE-AQUI;Es muy práctico y ahorra tiempo de trabajo. Gracias.
CONOCE-AQUI;ok
CONOCE-AQUI;No se piede visualizar nada.
CONOCE-AQUI;excelente
CONOCE-AQUI;"1000/10
"
CONOCE-AQUI;:)
CONOCE-AQUI;BIEN
CONOCE-AQUI;1
CONOCE-AQUI;DEBERÍA SER MÁS GRANDE EL CUADRO DE VISUALIZACIÓN PARA LEER MÁS RÁPIDO, SIN ESTAR MOVIENDO LA BARRA DE DESPLAZAMIENTO. 
CONOCE-AQUI;Si
CONOCE-AQUI;ESTA TODO MUY BIEN
CONOCE-AQUI;x
CONOCE-AQUI;"bien 
"
CONOCE-AQUI;OK
CONOCE-AQUI;GRACIAS
CONOCE-AQUI;bien
CONOCE-AQUI;OK
CONOCE-AQUI;"excelente
"
CONOCE-AQUI;buen servicio!
CONOCE-AQUI;No se pudo visualizar en movil
CONOCE-AQUI;bien
CONOCE-AQUI;"bueno
"
CONOCE-AQUI;Bien
CONOCE-AQUI;Excelente 
CONOCE-AQUI;Disponibilidad de mayor tiempo para lectura.
CONOCE-AQUI;Q
CONOCE-AQUI;bueno
CONOCE-AQUI;bien
CONOCE-AQUI;ok
CONOCE-AQUI;M
CONOCE-AQUI;dejen imprimir
CONOCE-AQUI;da
CONOCE-AQUI;Ok
CONOCE-AQUI;muy rápido
CONOCE-AQUI;muy didactico
CONOCE-AQUI;bien
CONOCE-AQUI;OK
CONOCE-AQUI;Deben dar Una opcion para imprimir
CONOCE-AQUI;asdsad
CONOCE-AQUI;Se debería poder descargar los asientos revisados gratuitamente con el sello de sin valor para tramites. Sello de copia informativa sin valor.
CONOCE-AQUI;OK
CONOCE-AQUI;necesito más tiempo, por favor. Gracias
CONOCE-AQUI;Necesito más tiempo, por favor. Gracias. 
CONOCE-AQUI;"Util.
"
CONOCE-AQUI;Excelente trabajo
CONOCE-AQUI;.
CONOCE-AQUI;gracias
CONOCE-AQUI;ghcdmgt
CONOCE-AQUI;buen servicio.
CONOCE-AQUI;Debería verse toda la hoja completa y no salir los números arriba
CONOCE-AQUI;"Ampliacion de ingresos
"
CONOCE-AQUI;"-
"
CONOCE-AQUI;se deberia poder acceder al CRI y el titular deberia poder acceder a la copia literal de forma gratuita.
CONOCE-AQUI;s
CONOCE-AQUI;excelente
CONOCE-AQUI;.
CONOCE-AQUI;Deberían dar 1 hora de tiempo para poder revisar las partidas porque 30 minutos es muy poco tiempo.
CONOCE-AQUI;.
CONOCE-AQUI;Buen servicio.
CONOCE-AQUI;wewe
