COMENTARIO;frecuencia
muy buena opcion;31
222;31
execelente;31
idem;31
que se pueda descargar;31
efectivo;30
gggg;29
facil de usar;29
buena opcion;29
buenas;29
tatogucci;29
lindo;29
no deja imprimir;29
falta actualizar;28
no carga el mapa;28
estupendo;28
es muy util;28
maso;27
impresion;27
asdf;27
eficaz;27
aaaaaa;27
excelente atencion;27
bien bien;27
asdsad;26
excelente trabajo;26
buen sistema;26
no se ve nada;26
permitir imprimir;26
mas tiempo de visualizacion;26
muy buena la informacion;26
jjjj;26
deberia dejar imprimir;26
me gusto;26
dejen imprimir;25
falta tiempo;25
sadasd;25
es muy bueno;25
se deberia poder imprimir;25
magnifico;25
incompleto;25
muy rapido;25
no permite imprimir;25
actualizar;24
bien todo;24
bien sunarp;24
no sirve;24
mas tiempo por favor;24
okokok;24
gran ayuda;24
no encontre;24
excelente servicio muchas gracias;24
esta excelente;24
dejar imprimir;24
super bueno;23
buenos;23
no se ve;23
no cargo;23
muy buena gracias;23
uh;23
no carga nada;23
rapido y seguro;23
que se deberia poder hacer mas de 3 consultas por dia;23
muy importante;23
amigable;23
excelente muchas gracias;23
seguir mejorando;23
aaaaaaa;23
okkkk;22
es de mucha ayuda;22
dsds;22
todo correcto;22
servicio excelente;22
dasdas;22
buen aporte;22
555;22
poder descargar;22
33;22
llll;22
no encontre lo que buscaba;22
muy malo;21
mas rapido;21
mal servicio;21
saludos;21
excelent;21
excelente apoyo;21
bine;21
ok gracias;21
pocos intentos;21
sasa;21
falta imprimir;21
mayor tiempo;20
okis;20
bueno el servicio;20
23;20
rapido seguro y confiable;20
ecelente;20
muy buena la atencion;20
es un buen servicio;19
bieb;19
dar mas tiempo;19
deberia poder imprimirse;19
muy excelente;19
esta ok;19
mas informacion;19
me ayudo mucho;19
asdasdasd;18
buen aplicativo;18
birn;18
asdasdas;18
dasda;18
sastifecho;18
excente;18
facil y rapido;18
deberia permitir imprimir;18
descarga;18
esta muy bueno;18
espectacular;18
falta informacion;18
muy amigable;18
none;18
333;18
perfect;18
permitan imprimir;18
un buen servicio;18
vvvv;18
muy corto el tiempo;17
ok bien;17
debe permitir imprimir;17
45;17
ecxelente;17
muy bien servicio;17
muy agradecido;17
muy agil;17
muy buena la pagina;17
titulo archivado;17
satisfecha;17
habilitar opcion de impresion;17
importante;17
fdfd;17
no esta actualizado;17
sdad;17
esta perfecto;17
se necesita mas tiempo;17
positivo;16
masomenos;16
recomendado;16
obtuve informacion;16
buena la plataforma;16
fino;16
exitos;16
de gran ayuda;16
muy buen sistema;16
dede;16
mejor;16
titulos archivados;16
exlente;16
felicidad;16
gracias por el apoyo;16
bien ahi;16
dasdasd;16
todo okey;16
un poco mas de tiempo;16
000;16
no puedo visualizar;15
servicio rapido;15
dsad;15
muy buena app;15
ok todo;15
atencion rapida;15
44;15
deberian dar mas tiempo;15
todo ok gracias;15
esta bien el servicio;15
permitir mas visualizaciones;15
no se puede visualizar la hoja resumen;15
fgfg;15
felicidades;15
asdsa;15
excelnete;15
aaaaaaaa;15
aaaaaaaaaa;15
excel;15
pocas opciones;15
buena iniciativa;15
buen apoyo;15
fabuloso;15
no se pudo visualizar;14
debe dejar imprimir;14
demora;14
es de gran ayuda;14
es muy buena;14
no sale nada;14
biuen;14
bonito;14
adad;14
falta opcion de descarga;14
gracias buen servicio;14
excelenete;14
gracias por su apoyo;14
fdsf;14
buena la informacion;14
gracias excelente;14
ok ok;14
sada;14
falta;14
todo;14
1234;14
me encanto;14
perfecta;14
deben permitir imprimir;14
10 10;14
nadin;14
si bueno;14
no puedo descargar;14
zzzz;14
todo muy bien gracias;14
me encanta;14
no se;14
muy buenos;14
ampliar el numero de consultas permitidas;14
54;13
excelente aporte;13
buena info;13
sadas;13
conforme con el servicio;13
pater noster;13
no carga la base grafica;13
muy satisfecha;13
satisfactorio;13
falta opcion de impresion;13
excelente la informacion;13
kkkk;13
que se permite visualizar las partes mas de tres intentos;13
aaaaaaaaa;13
no deja descargar;13
biwn;13
se debe poder imprimir;13
ok ok ok;13
muy didactico;13
ayuda bastante;13
todo genial;13
buno;12
biennn;12
buneo;12
actualizar la base grafica;12
tiempo corto;12
buena informacion gracias;12
holi;12
rapido y eficaz;12
52;12
sdfs;12
rapido y facil;12
no se visualiza la partida;12
siii;12
sdfg;12
aaaaaaaaaaaa;12
deben dar mas tiempo;12
muy eficaz;12
56;12
es excelente;12
muy bien todo;12
contento;12
no aparece el mapa;12
asdasda;12
una gran ayuda;12
no se entiende;12
no entiendo;12
lei lo que necesitaba;12
maravilloso;12
21;12
excelente iniciativa;12
444;12
nien;12
dfds;12
41;12
deberia dejar descargar;12
no pasa nada;12
muy mal;12
okoko;12
muy buena la plataforma;12
no pude ver nada;12
muybien;12
mucha encuesta;11
muy efectivo;11
no pude visualizar;11
conforme con la informacion;11
necesito mas tiempo;11
es buena;11
no cargo nada;11
sdas;11
estoy conforme;11
muchas encuestas;11
esta todo bien;11
practico y eficaz;11
rapido y sencillo;11
excelente felicitaciones;11
mas tiempo de consulta;11
hermoso;11
muy buen aplicativo;11
eeee;11
no salio nada;11
si esta bien;11
mucho demora;11
b ien;11
bein;11
ayuda;11
buenardo;11
gfgf;11
awdwad;11
gracias mil;11
sadsa;11
ok excelente;11
muy buen aporte;10
ookk;10
esta bien gracias;10
no carga el sistema;10
es util;10
muy bien el servicio;10
no carga hoja resumen;10
62;10
deberian dejar imprimir;10
opcion para descargar;10
vien;10
ok muy bueno;10
ok todo bien;10
muy mala;10
deben dejar imprimir;10
todobien;10
no pude visualizar la partida;10
assa;10
muy bueno muchas gracias;10
opcion de descarga;10
perfec;10
demora en cargar;10
dsadas;10
chvr;10
muy buen servicio felicitaciones;10
me sirvio de mucho;10
me parece bien;10
no cargo el mapa;10
buien;10
estan mejorando;10
bienn;10
esta rapida;10
muchas gracias por el servicio;10
bien excelente;10
adasd;10
se deberia poder descargar;10
se requiere mas tiempo;10
esta mejorando;10
pesimo servicio;10
sdds;10
no se visualiza el mapa;10
puede mejorar;10
sin comentario;10
exelente informacion;10
excelente servico;10
excelete;10
gracias por la ayuda;10
rapido y eficiente;10
quiero imprimir;10
sadsad;10
gracias excelente servicio;10
gracia;10
great;10
ampliar el numero de accesos y el tiempo de uso;10
bestial;10
bendiciones;9
1111;9
gracias muy util;9
actualizar base grafica;9
falto tiempo;9
fantastico;9
fsdf;9
gracuas;9
no funciono;9
51;9
no vi nada;9
buena la atencion;9
no hay servicio;9
no me ayudo;9
buen servico;9
excelente sistema;9
excelenteee;9
riko;9
25;9
super util;9
buenooo;9
buenoo;9
aaaaaaaaaaa;9
nunca cargo;9
que permita imprimir;9
mas detalles;9
no sale el mapa;9
oportuno;9
muybueno;9
wdwd;9
ok bueno;9
muy informativo;9
dada;9
no se ve el mapa;9
muy practica;9
ok muy bien;9
me falto tiempo;9
boen;9
es un excelente servicio;9
dfsf;9
dsadsa;9
dsfs;9
01;9
normal;9
que se pueda descargar en pdf;9
los felicito;9
esta buena;9
bien ok;9
pocas visualizaciones;9
excelente app;9
no cargo la pagina;9
el servicio no esta disponible;9
den mas tiempo;9
muy buena iniciativa;9
okay;9
muy buen trabajo;9
66;9
muy bueno excelente;9
no puedo descargar el documento;9
atencion eficaz;9
yyyy;9
que bueno;8
excellent;8
buena app;8
limitado;8
excellente;8
no hay sistema;8
plataforma amigable;8
permitir la descarga en pdf;8
permitir descargar;8
no carga la informacion;8
0000;8
no cargan las partidas;8
no se puede ver;8
sfsf;8
deberian dar mas intentos;8
muy buen;8
me ayudo;8
dadasd;8
complicado;8
excelemte;8
esta genial;8
esta muy bien el servicio;8
aaaaaaaaaaaaaa;8
no esta disponible;8
bueo;8
15;8
buena experiencia;8
buen servicios;8
gracias por su atencion;8
faltan datos;8
buenaza;8
no hay;8
mas busquedas;8
mas accesos diarios;8
qqqq;8
habilitar impresion;8
thanks;8
tod bien;8
jeje;8
facil acceso;8
felicitaciones sigan adelante;8
bueni;8
falta mas tiempo;8
aumentar la cantidad de accesos por dni;8
grcias;8
grcs;8
buenisima;8
bieen;8
bien el servicio;8
todo esta muy bien;8
agregar opcion imprimir;8
adas;8
bastante util;8
asasas;8
asds;8
un poco lento;8
servicio muy bueno;8
muy facil;8
deberia dejar descargar la partida;8
debe ser ilimitado;8
tttt;8
muy lento el sistema;8
no se puede visualizar nada;8
todo muy bueno;8
descarga en pdf;8
otros;8
dfgh;8
muy buena la aplicacion;8
se cuelga;8
excelente servicio felicitaciones;8
celere;8
chevre;8
por el momento todo bien;8
se pueda imprimir;8
es una buena plataforma;8
muy bien felicitaciones;8
mu bueno;8
mucha ayuda;8
se deberia imprimir;8
mas tiempo para visualizar;8
aaaaaaaaaaaaa;8
2222;7
excelenteeee;7
buen servicio muchas gracias;7
no descarga hoja resumen;7
sistema lento;7
ampliar el tiempo;7
agradecido;7
agradecida;7
13;7
gracias por todo;7
gracias sunarp;7
ta bueno;7
gdfg;7
falta poder imprimir;7
wwww;7
beuno;7
adsa;7
veloz;7
very nice;7
uuuu;7
vacan;7
goog;7
gfdg;7
falta mas informacion;7
rrrr;7
falta actualizar datos;7
gracias muy bueno;7
sadf;7
quisiera imprimir;7
pueden mejorar;7
kjkj;7
que no se cuelgue;7
super rapido;7
hfgh;7
hghg;7
95;7
jdjd;7
que se permita visualizar las partidas mas de tres intentos;7
que se deberia poder hacer mas consultas por dia;7
mas rapidez;7
mas tiempo de visita;7
mas consultas por dia;7
aaaaaaaaaaaaaaaaaa;7
no hay mucha informacion;7
mas consultas;7
aaaaaaaaaaaaaaa;7
buenoi;7
sonrian;7
super practico;7
bueno y rapido;7
no hay informacion;7
corto tiempo;7
cvcv;7
mas tiempo porfavor;7
bue servicio;7
85;7
me ayuda mucho;7
excelente de gran ayuda;7
excelente informacion gracias;7
sdsa;7
se agradece;7
esta exelente;7
bienm;7
biern;7
biren;7
dadad;7
muy buen apoyo;7
mil gracias;7
mejorando;7
efef;7
dsfd;7
dfsd;7
didactico;7
escelente;7
muy accesible;7
es rapido;7
es una gran ayuda;7
no abre;7
es bueno el servicio;7
dfgd;7
el servicio es bueno;7
demora mucho en cargar;7
32;7
permitir impresion;7
demora mucho;7
muy poca informacion;7
no carga la hoja resumen;7
okkkkk;7
okokokok;7
descargar en pdf;7
si bien;7
deberia durar mas tiempo;7
deberia poder imprimir;7
seria bueno poder imprimir;7
no se puede visualizar la hoja de resumen;7
muy lenta;7
65;7
muy satisfecho y una plataforma excelente y muy provechoso;7
no puedo ver;7
asad;7
ampliar el tiempo de uso y el numero de accesos;7
asdfg;6
vdfv;6
awdawd;6
asfasf;6
asdada;6
asasa;6
no puedo visualizar nada;6
no pude ingresar;6
no permite descargar;6
si ayuda;6
servicio ok;6
sencillo;6
debe durar mas tiempo;6
de acuerdo;6
deberia poder descargarse;6
deberia haber mas tiempo;6
siiii;6
siempre se puede mejorar;6
accesible;6
descargar;6
demasiado lento;6
aceptable;6
dejar descargar;6
encuesta conoce aqui;6
elegante;6
efectiva;6
es muy lento;6
erer;6
entendible;6
continuen asi;6
completo;6
burno;6
estupendo servicio;6
estuvo bien;6
esta super;6
esta muy bien gracias;6
esta fallando;6
esta correcto;6
se puede mejorar;6
212;6
excelente la plataforma;6
excelen;6
excelencia;6
son lo maximo;6
sirve;6
excelente sigan asi;6
sdff;6
sdfa;6
sdada;6
sdadas;6
excelente servicios;6
excelente servicio muy util;6
extraordinario;6
exito;6
exelente plataforma;6
exelente gracias;6
excelente y rapido;6
sasd;6
sads;6
rico;6
faborable;6
fsaf;6
bueno gracias;6
buenio;6
gracias muy buen servicio;6
gracias es de mucha ayuda;6
graci;6
goob;6
fue de mucha ayuda;6
gucci;6
gracis;6
graciass;6
graciasss;6
gracias por su ayuda;6
iiii;6
buena idea;6
buen dato;6
buebo;6
la plataforma es muy util y agradezco a los responsables de sunarp por facilitar el acceso para todos los peruanos;6
la pagina no carga;6
jiji;6
rapido y practico;6
no visualiza;6
no se visualizo nada;6
no se visualizo;6
no se visualiza bien;6
manan;6
malisimo;6
los amo;6
me ayudo bastante;6
mayor solicitudes;6
mas visitas;6
por nombres;6
3333;6
poder descargar los documentos;6
bien servicio;6
mucho demora en cargar;6
me sirvio de mucho gracias;6
muy bien sunarp;6
muy bien excelente;6
no carga el visor;6
ninguna por el momento;6
niguno;6
muy buena informacion gracias;6
peru;6
perfecto gracias;6
no carga la imagen;6
muy conforme;6
opcion imprimir;6
muy bueno felicitaciones;6
no se puede descargar el documento;6
1000;6
muy poco tiempo de sesion;6
muy pocas visualizaciones;6
muy complacido y una plataforma excelente y muy provechoso;6
my bueno;6
muy util y facil de usar;6
muy util la informacion;6
muy util el servicio;6
muy servicial;6
muy rapida;6
muy practico gracias;6
asdd;6
ok esta bien;6
todo bueno;6
todo bien por ahora;6
beno;6
bdbd;6
wewe;6
xvre;6
zxzx;5
excelente servicio gratuito;5
agregar la opcion de imprimir;5
error;5
buen programa;5
muy complicado;5
actualizar informacion;5
gracias por la atencion;5
biebn;5
izi papa;5
ewew;5
excelente muy bueno;5
actualizar el mapa;5
actualizar las partidas;5
deberian permitir descargar;5
es muy practico;5
excelente y practico;5
deseo imprimir;5
gaaaaa;5
lnln;5
gaaaa;5
gracias por ayudarme;5
fgfd;5
buenazooo;5
exceente;5
gaaa;5
el mejor;5
bueno muy bueno;5
fgdf;5
informacion rapida;5
hdhd;5
deberia poderse imprimir;5
bueno excelente;5
caca;5
como imprimir;5
efefe;5
asfa;5
ghjk;5
esta lento;5
hello;5
excelencia total;5
aumentar el tiempo de visualizacion;5
excelenet;5
mas tiempo para lectura;5
excelentes;5
excelente la pagina;5
asdfsdf;5
dfff;5
beuna;5
dffd;5
debe permitir descargar;5
fghf;5
mas tiempo de busqueda;5
goood;5
formidable;5
descargas en pdf;5
asdasdsa;5
asfd;5
aumentar tiempo;5
buen servicio muy util;5
funciona;5
deberian dejar mas tiempo;5
fast;5
excelente muy util;5
aumentar el numero de busqueda de partidas;5
ghhg;5
mas tiempo gracias;5
jhjh;5
adsad;5
adelante;5
falta la opcion de imprimir;5
asasd;5
bueno y practico;5
descargar pdf;5
asdfa;5
de gran utilidad;5
gfgg;5
jkjk;5
gracias me sirvio de mucho;5
mas tiempo en la plataforma;5
falta para imprimir;5
dsada;5
excelente el aplicativo;5
dwdw;5
excelente servicio de sunarp;5
buenaaa;5
buena gracias;5
estoy satisfecha;5
el tiempo es muy corto;5
mayor rapidez;5
me ayuda;5
me ayuda en mis labores de cofopri;5
me ayudo mucho gracias;5
me parece excelente;5
mejoren;5
muchas gracias excelente servicio;5
muchas gracias por la informacion;5
muy bine;5
muy buen servicio muchas gracias;5
muy buena excelente;5
muy buena felicitaciones;5
muy buena idea;5
muy buenas;5
muy bueno el sistema;5
muy bueno y util;5
muy bueno y rapido;5
muy buenoi;5
muy dinamico;5
muy poco el tiempo;5
muy util la plataforma;5
my buena;5
nbien;5
niguna;5
ninguna gracias;5
no aparece la partida;5
no aparece nada;5
no carga la base;5
no carga la partida;5
no carga los mapas;5
no encontre nada;5
no entendi;5
no esta completo;5
no pude ver;5
no puedo visualizar la partida;5
no sale;5
no se pudo visualizar nada;5
no se puede;5
yess;5
no se puede ver la hoja de resumen;5
no se ve completo;5
no se ve la partida;5
nos ayuda mucho;5
ok buen servicio;5
okas;5
okkkkkk;5
okkkkkkkkkkkk;5
pag completa;5
para imprimir;5
permitan descargar;5
permitir descarga;5
poco tiempo para visualizar;5
por nombre;5
pppp;5
preciso;5
que deje imprimir;5
que se pueda descargar el archivo;5
quiero descargar;5
rapida y eficiente;5
rapido y efectivo;5
recomendable;5
sadasda;5
salir;5
satisfecho con el servicio;5
sdsad;5
se debe permitir imprimir;5
se obtuvo informacion;5
seee;5
seguir georeferenciando;5
seria bueno poder descargar;5
servicio eficiente;5
14;5
sigue mejorando;5
sin servicio;5
solo se ve una pagina;5
ssdd;5
ta bien;5
te amo;5
timmy;5
todo claro;5
todo conforme gracias;5
todo esta bien gracias;5
todo esta perfecto;5
todo excelente gracias;5
todo good;5
todo mal;5
122;5
todo rapido;5
ueno;5
vale;5
vdvd;5
visualizacion mas grande;5
wasap;5
wadwad;5
excelentisimo;4
dvdv;4
exce lente;4
fewf;4
impresion completa;4
buen servicio al usuario;4
exitoso;4
cheverengue;4
kjhj;4
hjhj;4
confianza;4
gracias por este servicio;4
excelente servicio al ciudadano;4
excelen te;4
devoraron;4
gdsg;4
gggh;4
dads;4
bien hecho;4
excelente idea;4
de mucha utilidad;4
excelente sunarp;4
deberian permitir imprimir;4
jsjd;4
aaaaaaaaaaaaaaaaaaaaaaa;4
ghgh;4
de facil acceso;4
es muy bueno el servicio;4
dqwd;4
el mejor servicio;4
esta muy lento;4
ggfg;4
excelente la atencion;4
biemn;4
ffdf;4
exvelente;4
esta muy buena;4
buenazoo;4
biennnn;4
excekente;4
james;4
deben permitir descargar;4
cvbn;4
informacion oportuna;4
falta actualizacion;4
deberia ser ilimitado;4
gran servicio;4
aaaaaaaaaaaaaaaaaaaaaaaaaa;4
falta opcion para imprimir;4
falta datos;4
biien;4
jwjw;4
es buen servicio;4
intentos;4
mas intentos por favor;4
gdgf;4
aaaaaaaaaaaaaaaaaaaaaaaa;4
gracie;4
esta conforme;4
excelente servicio a la comunidad;4
deberia poder descargar el documento;4
biwen;4
ddsd;4
bravo;4
aaaaaaaaaaaaaaaa;4
afaf;4
deberian dejar descargar;4
mas datos;4
buen producto;4
hhjj;4
kmkm;4
mayor tiempo de visualizacion;4
mayor tiempo de busqueda;4
mas tiempo de sesion;4
fefef;4
dgdg;4
777;4
excelente servicio informativo;4
me parece muy bien;4
me sirvio;4
me sirvio mucho;4
me sirvio de mucha ayuda;4
medio;4
mejorar el servicio;4
mejorar la plataforma;4
encontre lo que buscaba;4
mostrar hoja completa;4
mu bien;4
mas tiempo de lectura;4
informacion importante;4
muy agradecida;4
muy bieb;4
muy bien la informacion;4
muy bn;4
muy birn;4
asdsadsad;4
muy buebo;4
muy buen servicio gratuito;4
eficiencia;4
muy buen0;4
muy buena experiencia;4
bien muy bien;4
mas tiempo para visualizar las partidas;4
mas tiempo para la sesion;4
muy buena web;4
deberia descargarse;4
muy bueno el aplicativo;4
dfgf;4
bien buen servicio;4
genial gracias;4
ahorra tiempo;4
muy buneo;4
aaaaaaaaaaaaaaaaaaaa;4
muy efectiva;4
fgfh;4
muy eficiente gracias;4
muy facil de usar;4
muy ilustrativo;4
muy importante la informacion;4
falta impresion;4
muy satisfecho y una plataforma excelente y muy util;4
falta mas detalles;4
muyy bueno;4
dasdasdas;4
nada por ahora;4
gracias todo bien;4
excelente ayuda gracias;4
ningun comentario;4
chau;4
actualizar base de datos;4
chvre;4
buena alternativa;4
buen srvicio;4
bueno servicio;4
no carga los predios;4
no cargan los poligonos;4
no cargo la imagen;4
no encontre el predio que buscaba;4
no encontre el predio;4
no encontre la base grafica;4
no encontre informacion;4
buenaaaaa;4
es un buen sistema;4
no entiendo el sistema;4
no entra;4
no es amigable;4
no esta actualizada;4
exccelente;4
no esta funcionando;4
no me carga el mapa;4
no me deja descargar;4
no me mostro nada;4
no nada;4
no permite imprimir el documento;4
esta bueno el servicio;4
no pude visualizar nada;4
no puedo retroceder para consultar otro predio;4
no puedo ver nada;4
no puedo visualizar el mapa;4
deberia imprimirse;4
465;4
456;4
dar mas intentos;4
no sale la partida;4
no salio;4
no se muestra nada;4
actualizar datos;4
chvere;4
no se puede descargar el archivo;4
no se puede decarcar;4
no se puede descargar la hoja resumen;4
es amigable;4
no se puede ingresar;4
no se puede regresar;4
no se puede ver el mapa;4
mas minutos;4
no se puede visualizar la partida;4
buen servicio de informacion;4
no se ve bien;4
buenas informacion;4
no se vio nada;4
no se visualiza la informacion;4
no tengo;4
sdaf;4
no veo nada;4
se colgo;4
nooo;4
impresion en pdf;4
nose;4
facil de manejar;4
falta la opcion para imprimir;4
okkkkkkk;4
eeeeeeeeeeee;4
bueno bueno;4
okokoko;4
oooo;4
opcion de impresion;4
otorgar mas tiempo;4
pagina amigable;4
fffg;4
estoy aprendiendo;4
perfecto servicio;4
deben dejar mas tiempo en sesion;4
dadas;4
poco tiempo de visualizacion;4
hjkh;4
adasdas;4
posibilidad de imprimir;4
lo max;4
bueno todo;4
q se pueda imprimir;4
que buen servicio;4
que bien;4
buna;4
que se permita imprimir;4
26;4
que se permita visualizar las partes mas de tres intentos;4
falta la opcion imprimir;4
que sea mas de 3 veces;4
que sea mas rapido;4
como descargo;4
quitar captcha;4
qweqwe;4
frfr;4
rapido y facil de usar;4
esta buena la informacion;4
lo maximo gracias;4
rgerg;4
rgrg;4
buenas referencias;4
no se puede imprimir los asientos;4
excelente opcion;4
cada vez mejor;4
sdadsa;4
sdasdas;4
happy;4
asdfas;4
excelente todo;4
cdcd;4
bien practico;4
buena la pagina;4
grac;4
servicio no disponible;4
servicio muy util;4
servicio optimo;4
servidor lento;4
sfds;4
si buena;4
si gracias;4
si todo bien;4
mas amigable;4
sigan adelante;4
siiiiiii;4
excelente buen servicio;4
de mucha ayuda gracias;4
funcional;4
spam;4
gracias por ayudarnos;4
bvbv;4
buen dia;4
tiempo limitado;4
esta muy lento el sistema;4
todo bien muchas gracias;4
es practico;4
todo chevere;4
dfsg;4
buenp;4
actualizar la base de datos;4
todo esta ok;4
todo esta excelente;4
bene;4
mas consultas diarias;4
estabien;4
efwef;4
121;4
dejen descargar;4
todo perfecto gracias;4
falta mayor informacion;4
uena;4
felicitaciones excelente servicio;4
velocidad;4
ma tiempo;4
deberian permitir descargar los documentos;4
w2w2;4
fgdg;4
excelnte servicio;4
wdawd;4
xd xd;4
xsxs;4
sadsd;4
felicitaciones sunarp;3
bien claro;3
aaaaaaaaaaaaaaaaaaa;3
facilidad;3
es una buena herramienta;3
deberia permitir descargar el documento;3
es muy practica;3
como descargar;3
deberia permitir descargar;3
klkl;3
estoy conforme con el servicio;3
el sistema es muy lento;3
99;3
lkkk;3
buen servicio felicitaciones;3
nbjh;3
interesante muchas gracias;3
buweno;3
buen sevicio;3
dwwd;3
deberian habilitar la opcion para descargar en pdf;3
debe tener opcion a imprimir;3
dadsa;3
hahah;3
hola bien;3
buen servicio excelente;3
bueeno;3
facilidades para imprimir;3
mas intentos por dni;3
exclente servicio;3
claro;3
es una buena ayuda;3
deberia poderse descargar;3
bvien;3
dura muy poco;3
dfdd;3
fddf;3
buen0;3
fvfv;3
genial servicio;3
buen servicio informativo;3
gracuias;3
hjhh;3
es muy util gracias;3
gracias por el servicio muy util;3
goodd;3
estoy satisfecho con el servicio;3
exelente buen servicio;3
estoy satisfecho;3
hjgh;3
mas tiempo de navegacion;3
echelente;3
bueno informacion;3
exelente ayuda;3
mayor cantidad de visualizaciones;3
mayor numero de consultas;3
buen trato;3
hasta ahora todo bien;3
mayor tiempo de sesion;3
felicitaciones por el servicio;3
mas consultas al dia;3
jola;3
eded;3
me ayudo mucho muchas gracias;3
me equivoque;3
bien la informacion;3
77;3
me fue muy util;3
me gusta el servicio;3
me gusto mucho;3
awdwadwa;3
me parece muy bien el servicio;3
excelente y muy util;3
me parece perfecto;3
gracias por las facilidades;3
godd;3
buen aporte de sunarp;3
impresion por favor;3
mejora continua;3
mejor visualizacion;3
exelente el servicio;3
mejorar el zoom;3
mejorar la calidad de imagen;3
buen servicio gratuito;3
holas;3
mjuy buena;3
actualizar partidas y base grafica;3
facil de acceder;3
dffg;3
muchas gracias por la ayuda;3
erwe;3
muchas gracias por su servicio;3
muchas gracias sunarp;3
muuy bueno;3
muiy bueno;3
la informacion es buena;3
muy b;3
muy biem;3
jhjj;3
muy bien la pagina;3
de gran ayuda gracias;3
muy bien sigan asi;3
muy biena;3
axax;3
gooo;3
gracias gracias gracias;3
mas tiempo para verificadores;3
muy buen producto;3
buen atencion;3
harta de la encuesta;3
muy buen sevicio;3
facil acceso a la informacion;3
mas intentos de busqueda;3
estuvo genial;3
6546;3
informacion actualizada;3
ghhh;3
muy buena info;3
muy buena opcion para todos;3
lo mejor de lo mejor;3
debe existir busquedas multiples;3
esta mejor;3
excelenteeeeee;3
63;3
666;3
muy bueno la atencion;3
muy bueno lo recomiendo;3
muy bueno la plataforma;3
muy bueno sigan asi;3
mas tiempo para revisar;3
eeeeeeeeee;3
muy buenoo;3
excelente labor;3
muy caro;3
asdfasdf;3
muy claro;3
excelentee;3
muy corto tiempo;3
cada vez mejores;3
eeeee;3
graciaas;3
muy efectivo gracias;3
gracias por su buen servicio;3
muy feliz;3
asdfasd;3
muy importante gracias;3
complacido;3
muy interactivo;3
muy interesante gracias;3
muy intuitiva;3
muy limitado;3
muy malo no;3
muy ok;3
gracxias;3
muy poco tiempo de visualizacion;3
muy poco tiempo para leer;3
muy pocos intentos;3
565;3
